Track Name,Genre,Duration,BPM,Key,Energy Level,Danceability,Popularity
Mk.gee - Are You Looking Up,Indie Pop,200,120,C Major,70,60,50
Camila Cabello - June Gloom,Pop,215,105,G Minor,80,65,75
Pinegrove - Aphasia,Indie Rock,250,100,D Major,60,55,65
Shelly - Steeeam,Indie Pop,185,110,F Minor,65,70,55
Beyoncé - RIIVERDANCE,R&B,240,115,A Minor,90,80,90
Daisy Jones & The Six - Look At Us Now (Honeycomb),Rock,275,95,E Major,70,50,70
Fleetwood Mac - Silver Springs - 2004 Remaster,Classic Rock,270,88,Bb Major,60,45,85
Manchester Orchestra - The Gold - Phoebe Bridgers Version,Alternative,235,100,C Minor,65,50,70
Omar Apollo - Petrified,Indie R&B,210,120,E Minor,75,70,65
Omar Apollo - Ice Slippin,Indie R&B,220,110,G Major,70,60,68
Omar Apollo - Evergreen (You Didn’t Deserve Me At All),Indie R&B,195,115,F# Minor,80,75,72
Blondie - Hanging On The Telephone - Remastered,New Wave,160,152,E Major,85,85,80
¥$ - FIELD TRIP,Experimental,190,135,C# Minor,70,65,50
Charles Wesley Godwin - All Again,Country,230,92,G Major,60,55,60
Chris Stapleton - Mountains Of My Mind,Country,245,85,D Major,65,50,75
Suki Waterhouse - Moves,Indie Pop,215,112,A Major,60,65,55
River Whyless - Motel 6,Indie Folk,205,98,C Minor,55,50,50
Ray LaMontagne - Jolene,Folk,225,90,F Major,50,45,75
Fleetwood Mac - Landslide,Classic Rock,210,88,Eb Major,55,40,90
